Get�tigt am Datum;Betrag;Quelle;Zahlungsweise;Projekt;Kontakt-ID;Vorname;Nachname;Unternehmen;M�chte Brief-Mailing;M�chte E-Mail-Newsletter;Keine E-Mails senden;Keine Briefe senden;Keine Anrufe;Geburtsdatum;Kontakt-Tags;Person erstellt am;PLZ;Stadt;Land;E-Mail-Adresse;Telefon;01-Anrede Couvert;02-Anredeform
31.10.2025;50,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;3cd5df2d9fb071ebcb2df38635d771c864ab64c4b3eb10d18a811432d2cbd6be;Hartmut;H�fliger;;Nein;Ja;Nein;Ja;Nein;;Einzelperson, Pate, Dauerspender;13.05.2020;6312;Steinhausen;;hartmut.hfliger@hotmail.com;071 293 20 67;Frau;Du1
31.10.2025;1500,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;0791b27828f8043393a580749d2eecd0340b89e8a23946531ef8ce900257a3fb;Leana;Meier;;Ja;Ja;Nein;Nein;Nein;;keine Verdankungen, Pate, Dauerspender;13.05.2020;6332;Hagendorn;;leana.meier@hotmail.com;;Familie;Du2
31.10.2025;50,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;55e5578836bd57039db5046071cfa9ce1cb81cf7ad9a9478042886490b083629;Istvan;Blum;;Nein;Ja;Nein;Ja;Nein;;Mailing Mail, Dauerspender;06.11.2023;1772;Grolley;;istvan.blum@gmail.com;;Herr und Frau;Du2
31.10.2025;50,00;Paten;Bank�berweisung Vereinskonto;Patenschaften inkl. personenbezogene Spenden;a1ab3979e1e79a01465315bb516c1b3f67903bc0c7fa7fdf2044d1229040869f;Emilie;Stalder;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;5626;Hermetschwil-Staffeln;;emilie.stalder@gmail.com;+41 24 602 14 25;Herr und Frau;Du2
31.10.2025;50,00;Paten;Bank�berweisung Vereinskonto;Patenschaften inkl. personenbezogene Spenden;94eee4fd8e2a2324432da92f3a4be9ed5e7e66e09f6236efb8b4f7387b7d383f;Jannik;Meister;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;6036;Dierikon;;;+41 56 838 60 96;Frau;Du1
30.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;01d6e03e61f91b65a064b1d742130ea2afae075c22fa3d49955ed57d82d0de7b;Domenic;Ernst;;Ja;Ja;Nein;Nein;Nein;1980;Benefizessen 25, Weihnachtskarte, Pate, Vereinsmitglieder;30.11.2021;6331;H�nenberg;;domenic.ernst@yahoo.com;+41 27 187 26 32;Frau;Du2
30.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;01d6e03e61f91b65a064b1d742130ea2afae075c22fa3d49955ed57d82d0de7b;Domenic;Ernst;;Ja;Ja;Nein;Nein;Nein;1980;Benefizessen 25, Weihnachtskarte, Pate, Vereinsmitglieder;30.11.2021;6331;H�nenberg;;domenic.ernst@yahoo.com;+41 27 187 26 32;Frau;Du2
30.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;01d6e03e61f91b65a064b1d742130ea2afae075c22fa3d49955ed57d82d0de7b;Domenic;Ernst;;Ja;Ja;Nein;Nein;Nein;1980;Benefizessen 25, Weihnachtskarte, Pate, Vereinsmitglieder;30.11.2021;6331;H�nenberg;;domenic.ernst@yahoo.com;+41 27 187 26 32;Frau;Du2
30.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;1f1cd7cdb62e49e0d5b34baa8d2a6cb9168d11ef81d7b7f4798c1475708d8de2;Simone;Eugster;;Ja;Ja;Nein;Nein;Nein;2002;Pate;14.05.2025;60325;Frankfurt am Main;Deutschland;simone.eugster@hotmail.com;055 074 61 65;Frau;Du1
29.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;178eb39f830a3839262c9e38db8a4bdf3ca619aba80050048f224104da1fbb28;Mika;Mettler;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;5623;Boswil;;mika.mettler@yahoo.com;021 130 48 06;Familie;Du2
29.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;368fe0834a43c88862cff29fcd09ba263b8103fd151926e2c434e43ba041cc8b;Yasmina;Thommen;;Ja;Ja;Nein;Nein;Nein;;Timoun, Pate;13.05.2020;4416;Bubendorf;;yasmina.thommen@yahoo.com;+41 26 126 89 16;Familie;Du2
29.10.2025;100,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;48598b116766762c03aeeefcbd958d92976c5c81d44e691080a0aedfaa43dc3a;Julius;Gasser;;Ja;Ja;Nein;Nein;Nein;;;13.05.2020;6042;Dietwil;;julius.gasser@hotmail.com;;Herr;Du1
29.10.2025;1000,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;e7cbab5a455a77e13c9300e1f0af35f955839accbe7bc7f092a668cf2ee28279;Raffael;Kuhn;;Ja;Ja;Nein;Nein;Nein;;keine Verdankungen, Weihnachtskarte;09.12.2020;5022;Rombach AG;;;081 071 87 08;Herr und Frau;Du2
29.10.2025;40,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;cab9eedd33e9bad1dbbd5d1c12a84c4ce54a9c98ff6b918834b25a697d4269b1;Deborah;Stucki;;Ja;Ja;Nein;Nein;Nein;;;31.10.2023;6277;Lieli;;;+41 55 856 04 99;Herr und Frau;Sie
29.10.2025;146,25;OS Mailing;Bank�berweisung Vereinskonto;Allgemein;9b9dd5c1802e9b0546fa08ecdcea0fe823b88b54c1252e2a8a6e478b914c73e3;Annamaria;B�hler;;Ja;Ja;Nein;Nein;Nein;1976;Benefizessen 25, keine Verdankungen, Pate, Vereinsmitglieder, Dauerspender;13.05.2020;6020;Emmenbr�cke;;annamaria.bhler@hotmail.com;021 004 77 19;Frau;Du1
29.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;368fe0834a43c88862cff29fcd09ba263b8103fd151926e2c434e43ba041cc8b;Yasmina;Thommen;;Ja;Ja;Nein;Nein;Nein;;Timoun, Pate;13.05.2020;4416;Bubendorf;;yasmina.thommen@yahoo.com;+41 26 126 89 16;Familie;Du2
28.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;35797578d7fce84f940fc00b722d0d0f3395fad594a28cfd1e47cfbf895e3a1f;Josua;Roth;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;5634;Merenschwand;;josua.roth@hotmail.com;;Familie;Du2
28.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;50445f6659e604f5573a73581c47eb0cf4b022378a4c2a0ff0c6ed6fdc0bcc9a;Jusuf;Schmid;;Ja;Ja;Nein;Nein;Nein;;Weihnachtskarte, Pate;13.05.2020;6318;Walchwil;;jusuf.schmid@gmail.com;;Familie;Du2
28.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;3cd5df2d9fb071ebcb2df38635d771c864ab64c4b3eb10d18a811432d2cbd6be;Hartmut;H�fliger;;Nein;Ja;Nein;Ja;Nein;;Einzelperson, Pate, Dauerspender;13.05.2020;6312;Steinhausen;;hartmut.hfliger@hotmail.com;071 293 20 67;Frau;Du1
28.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;1632a86ca1a885a9020f4bdd943912f934ee49dec0eca351558e58b6096ecd14;Livia;Burri;;Ja;Ja;Nein;Nein;Nein;;Benefizessen 25, Pate;13.05.2020;6275;Ballwil;;livia.burri@hotmail.com;;Frau;Du1
28.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;7d660818ebeb185854743e8c456f157d05066ed4208781a173c7b655fccbe1f2;Veronica;Wettstein;;Ja;Ja;Nein;Nein;Nein;;Benefizessen 25, keine Verdankungen, �bersetzer, Weihnachtskarte, Pate, Vereinsmitglieder;13.05.2020;5644;Auw;;veronica.wettstein@gmail.com;+41 91 293 20 08;Herr und Frau;Du2
28.10.2025;100,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;793f0036b2d905c2f1c3b4d304bc63d7bb9a585b7476d6e83f7b9728686324e0;Fatmir;Keller;;Ja;Ja;Nein;Nein;Nein;;Timoun;13.05.2020;3360;Herzogenbuchsee;;fatmir.keller@hotmail.com;034 040 30 20;Herr und Frau;Du2
28.10.2025;409,19;Andere;Bank�berweisung Vereinskonto;Allgemein;8f022189bccfa07bf48f232d8a5b17ccfe111f6ed78bafd5b3b0198063ef5d79;Rainer;Grob;;Ja;Ja;Nein;Nein;Nein;;Euro, Timoun, Ausland;13.05.2020;1260;Nyon;;rainer.grob@gmail.com;056 793 34 15;Familie;Sie
28.10.2025;500,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;8fb86dbc1ec0739974af9a5abb35b4b7032050a5b7c355ff9de71a7f657bcf18;Leandra;Merz;;Ja;Ja;Nein;Nein;Nein;;;13.05.2020;5630;Muri;;;;Frau;Du1
28.10.2025;20,00;Mailing;Bank�berweisung Patenschaften;Grundversorgung Heimkinder;35797578d7fce84f940fc00b722d0d0f3395fad594a28cfd1e47cfbf895e3a1f;Josua;Roth;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;5634;Merenschwand;;josua.roth@hotmail.com;;Familie;Du2
28.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;1632a86ca1a885a9020f4bdd943912f934ee49dec0eca351558e58b6096ecd14;Livia;Burri;;Ja;Ja;Nein;Nein;Nein;;Benefizessen 25, Pate;13.05.2020;6275;Ballwil;;livia.burri@hotmail.com;;Frau;Du1
27.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;972b32163ddbd753b5db366e684a4b56228d31df67a6a37b579a412776cf240e;Raymonde;Lustenberger;;Ja;Ja;Nein;Nein;Nein;;Gemeinsam, Pate;05.03.2024;7323;Wangs;;raymonde.lustenberger@hotmail.com;+41 55 523 44 76;Familie;Du2
27.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;ed592a413ca5c3b21e7da4531a011bdf54c704de8fa1d6d3d28ce0ea39f2f06a;Florence;Siegrist;;Nein;Ja;Nein;Ja;Ja;;Einzelperson, Pate;07.05.2024;7323;Wangs;;florence.siegrist@gmail.com;022 695 72 03;Herr;Du1
27.10.2025;100,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;08156aec6e9f68663f58ece057d8a508650239ac6756e2594be61f3ebce64516;Kerstin;Hofer;;Ja;Ja;Nein;Nein;Nein;;Benefizessen 25, keine Verdankungen, VM WK, Weihnachtskarte, Pate;13.05.2020;5643;Sins;;kerstin.hofer@hotmail.com;031 073 83 74;Familie;Du2
27.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;9252127b3a6e8c05dd683e3dc276a6f4c5d85e272cd9843966666c4b6d43900f;Milo;Wettstein;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;5632;Buttwil;;milo.wettstein@gmail.com;032 014 26 76;Herr;Du1
27.10.2025;200,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;52e218f28300c0599e8c2e834e531038db2373701a3aed0feb26f4e655b0a47d;Jeton;Hoffmann;;Ja;Ja;Nein;Nein;Nein;;Gemeinsam;13.05.2020;5644;Auw;;;055 901 06 60;Herr und Frau;Du2
27.10.2025;100,00;Neuspender;Bank�berweisung Vereinskonto;Bildungsprojekt;c38d2a78b4bb08f254bf3c40e1bd347960e69ca3ba573170b3c46278bbddd0a2;Jean-Claude;Huber;;Ja;Ja;Nein;Nein;Nein;;Neuspenderbrief;03.11.2025;6345;Neuheim;;;;Frau;Sie
27.10.2025;1000,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;a69a88e828afe6061fb9ffb8262828146fe63ae251a37aa2e28347c295e19946;Ensar;Jenni;;Ja;Ja;Nein;Nein;Nein;;;13.05.2020;8932;Mettmenstetten;;;024 798 45 40;Frau;Du1
27.10.2025;50,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;8dbf50c5c017d74f32338850f85b1be32f44ac95feb9beb9feac2be7b5bf5485;Birgit;Herzog;;Ja;Ja;Nein;Nein;Nein;;;04.09.2022;5605;Dottikon;;;034 382 03 62;Frau;Sie
27.10.2025;100,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;70e07a02d3b0fe4ff12a21c73175980ee857ddeb76c121c8bacb8fd9ce887cb8;Mergim;Steiner;;Ja;Ja;Nein;Nein;Nein;;Dauerspender;13.05.2020;5643;Sins;;mergim.steiner@gmail.com;;Herr und Frau;Du2
27.10.2025;50,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;a9174922321719415534fc22e08ca2a1905862ea1ab18b75eea043bdf8646f47;Margot;Friedli;;Ja;Nein;Ja;Nein;Nein;;;09.06.2021;3662;Seftigen;;margot.friedli@yahoo.com;041 589 71 86;Herr und Frau;Du2
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;7fc8c16d446ab4f697de859d51add67906776d3cea49ebebf28309f53d64be46;Igor;Walter;;Ja;Ja;Nein;Nein;Nein;1960;keine Verdankungen, Weihnachtskarte, Pate, Dauerspender;13.05.2020;5622;Waltenschwil;;igor.walter@hotmail.com;031 127 90 44;Herr und Frau;Du2
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;ec1528ee019148532876976439c2f091f9bd0cb6a2c3742c9e8ff65b9f43dcb0;Hassan;Aebi;;Nein;Nein;Ja;Ja;Nein;;Einzelperson, Pate;13.05.2020;5630;Muri;;hassan.aebi@hotmail.com;091 816 00 41;Herr;Du1
24.10.2025;50,00;Mailing;Bank�berweisung Patenschaften;Grundversorgung Heimkinder;39ed062d16cfcc1e11bcfd8e79390d4d23575b76e0fcf5c9b3a596dcbb3c3f7a;Heinrich;Arnold;;Ja;Ja;Nein;Nein;Nein;;Dauerspender;13.05.2020;5707;Seengen;;heinrich.arnold@hotmail.com;;Frau;Du1
24.10.2025;100,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;9b9dd5c1802e9b0546fa08ecdcea0fe823b88b54c1252e2a8a6e478b914c73e3;Annamaria;B�hler;;Ja;Ja;Nein;Nein;Nein;1976;Benefizessen 25, keine Verdankungen, Pate, Vereinsmitglieder, Dauerspender;13.05.2020;6020;Emmenbr�cke;;annamaria.bhler@hotmail.com;021 004 77 19;Frau;Du1
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;83b8d97d42f06a6e7e891fa0bb6d8d39bb77376dfb782b791a7688abe1c72a98;Omar;Bianchi;;Ja;Ja;Nein;Nein;Nein;;Timoun, Pate;13.05.2020;3512;Walkringen;;omar.bianchi@hotmail.com;043 857 86 45;Familie;Du2
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;c104b2d80b213f6da789c46972d52a98d64142e7de05c43c5e979014a7820575;Hans;Tobler;;Nein;Nein;Ja;Ja;Ja;;Einzelperson, Pate;13.05.2020;5643;Sins;;hans.tobler@gmail.com;+41 21 279 47 49;Frau;Du1
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;4af6b9fd1ff8eeb704683ea274a3be2d1e53216325b00eb1e4165469da48f066;Csaba;Fuchs;;Ja;Ja;Nein;Nein;Nein;1980;Pate;13.05.2020;6280;Hochdorf;;csaba.fuchs@hotmail.com;+41 24 876 06 50;Familie;Du2
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;8eb9b4e204e3bb1801f2700fc0956e274812f47870681e8539144422591cbf29;Olivier;Mayer;;Nein;Ja;Nein;Ja;Nein;;Einzelperson, Pate, Vereinsmitglieder;13.05.2020;5644;Auw;;olivier.mayer@gmail.com;024 260 65 54;Herr;Du1
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;6f20672e51b48df2ceaed6dcccbc374640255dfdd22bfa5f878c9c62c3ab2a43;Angel;Zbinden;;Ja;Ja;Nein;Nein;Nein;;Benefizessen 25, keine Verdankungen, Weihnachtskarte, Pate, Vereinsmitglieder;13.05.2020;5644;Auw;;angel.zbinden@yahoo.com;027 748 57 18;Frau;Du1
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;deebfb8b70279ac0a0691188ec1eee94a3153781e8bda8da12de48146d03aa14;Marie-Louise;Frick;;Ja;Ja;Nein;Nein;Nein;;Gemeinsam, Pate;19.11.2020;8002;Z�rich;;marielouise.frick@hotmail.com;;Frau;Sie
24.10.2025;100,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;209536ee5ee1d440f52082055466c8100463b20112518a91e6fc7ebeab183d80;Branka;Mettler;;Ja;Ja;Nein;Nein;Nein;;keine Verdankungen, Dauerspender;13.05.2020;8932;Mettmenstetten;;branka.mettler@yahoo.com;+41 91 064 53 95;Frau;Du1
24.10.2025;60,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;2e87634793a84775e69b574c207a69b11e7e6bf8cd581837470fd5dbc7a8478e;Nad�ge;Ziegler;;Ja;Ja;Nein;Nein;Nein;;keine Verdankungen, Dauerspender;13.05.2020;6280;Hochdorf;;nadge.ziegler@yahoo.com;;Herr;Du1
24.10.2025;1000,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;2c0403d2acd4930dd892d82302470a6f80ac561f2893e1c8e674776f62d2f6c3;Massimo;Hasler;;Ja;Ja;Nein;Nein;Nein;;;15.04.2021;5643;Sins;;massimo.hasler@yahoo.com;;Herr und Frau;Du2
24.10.2025;50,00;Paten;Bank�berweisung Vereinskonto;Patenschaften inkl. personenbezogene Spenden;1e22c6554ef7a2eb93f7182458416deb73c761091b9dbdefae54c40d8146629a;Annabelle;Meier;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;6006;Luzern;;annabelle.meier@gmail.com;+41 56 334 66 10;Herr;Du1
24.10.2025;20,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;56c176f106febd0046e02e5be61b77a48c6ccdd539a2ae73634814ec611bbb3d;Romano;Lehmann;;Ja;Ja;Nein;Nein;Nein;;keine Verdankungen, Timoun, �bersetzer, Dauerspender;13.05.2020;2855;Glovelier;;romano.lehmann@gmail.com;044 730 12 28;Familie;Du2
24.10.2025;5000,00;Stiftungen;Bank�berweisung Vereinskonto;Grundversorgung Heimkinder;8a361e6d6f24551341eddae9bc10b7ddcd100fdbed47788a79aa11f71f68ff24;Levi;H�fliger;;Nein;Nein;Ja;Ja;Nein;;Stiftungen;11.01.2024;8005;Z�rich;;;;Herr;Sie
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;7fc8c16d446ab4f697de859d51add67906776d3cea49ebebf28309f53d64be46;Igor;Walter;;Ja;Ja;Nein;Nein;Nein;1960;keine Verdankungen, Weihnachtskarte, Pate, Dauerspender;13.05.2020;5622;Waltenschwil;;igor.walter@hotmail.com;031 127 90 44;Herr und Frau;Du2
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;7fc8c16d446ab4f697de859d51add67906776d3cea49ebebf28309f53d64be46;Igor;Walter;;Ja;Ja;Nein;Nein;Nein;1960;keine Verdankungen, Weihnachtskarte, Pate, Dauerspender;13.05.2020;5622;Waltenschwil;;igor.walter@hotmail.com;031 127 90 44;Herr und Frau;Du2
24.10.2025;100,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;7fc8c16d446ab4f697de859d51add67906776d3cea49ebebf28309f53d64be46;Igor;Walter;;Ja;Ja;Nein;Nein;Nein;1960;keine Verdankungen, Weihnachtskarte, Pate, Dauerspender;13.05.2020;5622;Waltenschwil;;igor.walter@hotmail.com;031 127 90 44;Herr und Frau;Du2
24.10.2025;100,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;7fc8c16d446ab4f697de859d51add67906776d3cea49ebebf28309f53d64be46;Igor;Walter;;Ja;Ja;Nein;Nein;Nein;1960;keine Verdankungen, Weihnachtskarte, Pate, Dauerspender;13.05.2020;5622;Waltenschwil;;igor.walter@hotmail.com;031 127 90 44;Herr und Frau;Du2
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;ec1528ee019148532876976439c2f091f9bd0cb6a2c3742c9e8ff65b9f43dcb0;Hassan;Aebi;;Nein;Nein;Ja;Ja;Nein;;Einzelperson, Pate;13.05.2020;5630;Muri;;hassan.aebi@hotmail.com;091 816 00 41;Herr;Du1
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;8eb9b4e204e3bb1801f2700fc0956e274812f47870681e8539144422591cbf29;Olivier;Mayer;;Nein;Ja;Nein;Ja;Nein;;Einzelperson, Pate, Vereinsmitglieder;13.05.2020;5644;Auw;;olivier.mayer@gmail.com;024 260 65 54;Herr;Du1
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;8eb9b4e204e3bb1801f2700fc0956e274812f47870681e8539144422591cbf29;Olivier;Mayer;;Nein;Ja;Nein;Ja;Nein;;Einzelperson, Pate, Vereinsmitglieder;13.05.2020;5644;Auw;;olivier.mayer@gmail.com;024 260 65 54;Herr;Du1
24.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;8eb9b4e204e3bb1801f2700fc0956e274812f47870681e8539144422591cbf29;Olivier;Mayer;;Nein;Ja;Nein;Ja;Nein;;Einzelperson, Pate, Vereinsmitglieder;13.05.2020;5644;Auw;;olivier.mayer@gmail.com;024 260 65 54;Herr;Du1
23.10.2025;100,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;2ae80c42b0928fffa0c66ff0863848d990b48c58618819a469096725adf0319e;Biljana;Imhof;;Ja;Ja;Nein;Nein;Nein;;Timoun, Pate;13.05.2020;8304;Wallisellen;;biljana.imhof@gmail.com;034 400 30 22;Familie;Du2
